tweet_id,timestamp,rating_numerator,rating_denominator,name,stage,retweets,likes
892420643555336193,2017-08-01 16:23:56+00:00,13,10,Phineas,None,7723,36289
892177421306343426,2017-08-01 00:17:27+00:00,13,10,Tilly,None,5714,31295
891815181378084864,2017-07-31 00:18:03+00:00,12,10,Archie,None,3786,23568
891689557279858688,2017-07-30 15:58:51+00:00,13,10,Darla,None,7884,39589
891327558926688256,2017-07-29 16:00:24+00:00,12,10,Franklin,None,8502,37805
890971913173991426,2017-07-28 16:27:12+00:00,13,10,Jax,None,1854,11092
890609185150312448,2017-07-27 16:25:51+00:00,13,10,Zoey,None,3922,26203
890240255349198849,2017-07-26 15:59:51+00:00,14,10,Cassie,doggo,6714,29941
890006608113172480,2017-07-26 00:31:25+00:00,13,10,Koda,None,6699,28823
889880896479866881,2017-07-25 16:11:53+00:00,13,10,Bruno,None,4562,26220
889638837579907072,2017-07-25 00:10:02+00:00,12,10,Ted,None,4104,25412
889531135344209921,2017-07-24 17:02:04+00:00,13,10,Stuart,puppo,2061,14212
889278841981685760,2017-07-24 00:19:32+00:00,13,10,Oliver,None,4871,23676
888917238123831296,2017-07-23 00:22:39+00:00,12,10,Jim,None,4113,27363
888804989199671297,2017-07-22 16:56:37+00:00,13,10,Zeke,None,3880,24043
888554962724278272,2017-07-22 00:23:06+00:00,13,10,Ralphus,None,3183,18560
888078434458587136,2017-07-20 16:49:33+00:00,12,10,Gerald,None,3165,20470
887705289381826560,2017-07-19 16:06:48+00:00,13,10,Jeffrey,None,4919,28420
887517139158093824,2017-07-19 03:39:09+00:00,14,10,such,None,10766,43595
887473957103951883,2017-07-19 00:47:34+00:00,13,10,Canela,None,16453,64615
886983233522544640,2017-07-17 16:17:36+00:00,13,10,Maya,None,7017,32842
886736880519319552,2017-07-16 23:58:41+00:00,13,10,Mingus,None,2938,11268
886680336477933568,2017-07-16 20:14:00+00:00,13,10,Derek,None,4086,21120
886366144734445568,2017-07-15 23:25:31+00:00,12,10,Roscoe,pupper,2894,19873
886258384151887873,2017-07-15 16:17:19+00:00,13,10,Waffles,None,5771,26322
885984800019947520,2017-07-14 22:10:11+00:00,12,10,Jimbo,None,6142,30604
885528943205470208,2017-07-13 15:58:47+00:00,13,10,Maisey,None,5845,33791
885311592912609280,2017-07-13 01:35:06+00:00,13,10,Lilly,None,16939,0
884925521741709313,2017-07-12 00:01:00+00:00,12,10,Earl,None,16551,72522
884876753390489601,2017-07-11 20:47:12+00:00,13,10,Lola,None,5106,26191
884562892145688576,2017-07-11 00:00:02+00:00,13,10,Kevin,None,4300,22833
884162670584377345,2017-07-09 21:29:42+00:00,12,10,Yogi,doggo,2738,19184
883838122936631299,2017-07-09 00:00:04+00:00,12,10,Noah,None,3145,20555
883360690899218434,2017-07-07 16:22:55+00:00,13,10,Grizzwald,floofer,3387,21321
882992080364220416,2017-07-06 15:58:11+00:00,13,10,Rusty,None,3562,22460
882762694511734784,2017-07-06 00:46:41+00:00,12,10,Gus,pupper,4475,26588
882627270321602560,2017-07-05 15:48:34+00:00,13,10,Stanley,None,5560,26313
882268110199369728,2017-07-04 16:01:23+00:00,13,10,Alfy,None,10589,42156
882045870035918850,2017-07-04 01:18:17+00:00,13,10,Koko,None,4470,27562
881906580714921986,2017-07-03 16:04:48+00:00,12,10,Rey,None,3111,22879
881666595344535552,2017-07-03 00:11:11+00:00,13,10,Gary,None,9771,47617
